Epoch,Quantum_Loss,Classical_Loss,Quantum_Accuracy_Pct,Classical_Accuracy_Pct
110,1.4070891250332653,1.400960779728298,,
111,1.4066044899499601,1.400699433387661,,
112,1.406125489068467,1.4004412199356884,,
113,1.4056520618165163,1.4001861033329515,,
114,1.4051841481502256,1.3999340479181266,,
115,1.4047216885524816,1.3996850184048797,,
116,1.404264624031216,1.3994389798787938,,
117,1.4038128961176302,1.3991958977942458,,
118,1.4033664468643576,1.3989557379713433,,
119,1.402925218843537,1.3987184665928332,,
120,1.4024891551448366,1.3984840502010332,61.8,55.400000000000006
121,1.402058199373427,1.3982524556947658,,
122,1.4016322956478444,1.3980236503262977,,
123,1.40121138859787,1.3977976016982834,,
124,1.4007954233622892,1.397574277760744,,
125,1.4003843455866194,1.3973536468080163,,
126,1.3999781014207973,1.3971356774757395,,
127,1.3995766375167968,1.3969203387378382,,
128,1.399179901026195,1.3967075999035339,,
129,1.3987878395977251,1.3964974306143298,,
130,1.3984004013747275,1.3962898008410654,,
131,1.3980175349926212,1.396084680880919,,
132,1.3976391895762759,1.3958820413544626,,
133,1.3972653147373852,1.395681853202733,,
134,1.3968958605717794,1.395484087684272,,
135,1.3965307776567126,1.3952887163722434,,
136,1.3961700170480955,1.3950957111515065,,
137,1.3958135302777404,1.394905044215725,,
138,1.3954612693505015,1.3947166880645125,,
139,1.395113186741468,1.3945306155005406,,
140,1.3947692353930463,1.39434679962672,64.60000000000001,56.599999999999994
141,1.394429368712102,1.3941652138433462,,
