Epoch,Quantum_Loss,Classical_Loss,Quantum_Accuracy_Pct,Classical_Accuracy_Pct
71,1.3198631038012052,1.3036802286753395,,
72,1.317473104064298,1.303002074914434,,
73,1.3151106165906146,1.3023320303795782,,
74,1.3127753312359685,1.3016699944663748,,
75,1.3104669404987148,1.3010158677972203,,
76,1.3081851395291817,1.3003695522088046,,
77,1.3059296261378535,1.299730950739654,,
78,1.3037001008023428,1.299099967617651,,
79,1.3014962666731937,1.298476508247654,,
80,1.2993178295785501,1.2978604791991044,70.57971014492753,46.81159420289855
81,1.2971644980277004,1.297251788193683,,
82,1.2950359832135663,1.2966503440930268,,
83,1.2929319990141284,1.296056056886482,,
84,1.2908522619928584,1.2954688376789025,,
85,1.2887964913981593,1.2948885986785226,,
86,1.2867644091618538,1.294315253184853,,
87,1.2847557398967715,1.2937487155766723,,
88,1.2827702108934302,1.2931889013000575,,
89,1.28080755211586,1.2926357268564883,,
90,1.2788674961966153,1.2920891097910054,,
91,1.2769497784309694,1.291548968680479,,
92,1.2750541367703434,1.2910152231218748,,
93,1.2731803118149974,1.2904877937206785,,
94,1.2713280468060015,1.289966602079325,,
95,1.2694970876165206,1.2894515707857592,,
96,1.2676871827424305,1.2889426234020374,,
97,1.2658980832923186,1.288439684453023,,
98,1.2641295429768475,1.2879426794151658,,
99,1.2623813180975607,1.2874515347053677,,
100,1.2606531675351131,1.286966177669936,76.81159420289855,55.65217391304348
101,1.25894485273697,1.2864865365736002,,
102,1.2572561377045957,1.2860125405886356,,
103,1.255586788980155,1.2855441197840862,,
104,1.253936575632745,1.2850812051150349,,
105,1.252305269244185,1.2846237284120179,,
106,1.2506926438943913,1.2841716223704922,,
107,1.2490984761463373,1.283724820540387,,
108,1.247522545030642,1.2832832573157973,,
109,1.2459646320298043,1.2828468679247225,,
110,1.2444245210620808,1.282415588418894,,
111,1.2429019984650582,1.2819893556637585,,
112,1.24139685297891,1.2815681073284624,,
113,1.2399088757293741,1.281151781876037,,
114,1.23843786021047,1.2807403185535742,,
115,1.236983602266951,1.280333657382566,,
116,1.2355459000765319,1.2799317391493295,,
117,1.2341245541319,1.279534505395479,,
118,1.23271936722252,1.2791418984085825,,
119,1.2313301444162554,1.2787538612128047,,
120,1.2299566930408155,1.2783703375597448,80.28985507246377,55.362318840579704
121,1.2285988226650495,1.2779912719193047,,
122,1.2272563450800864,1.2776166094706745,,
123,1.2259290742803601,1.277246296093431,,
124,1.2246168264445068,1.2768802783586706,,
125,1.2233194199161523,1.2765185035203188,,
126,1.222036675184621,1.2761609195064703,,
127,1.220768414865558,1.27580747491085,,
128,1.2195144636814743,1.275458118984365,,
129,1.2182746484422446,1.275112801626736,,
130,1.217048798025547,1.2747714733782611,,
131,1.2158367433572754,1.2744340854115945,,
132,1.2146383173919122,1.2741005895237223,,
133,1.213453355092894,1.2737709381279259,,
134,1.2122816934129548,1.2734450842459168,,
135,1.211123171274483,1.2731229815000036,,
136,1.2099776295498708,1.2728045841054034,,
137,1.2088449110418935,1.2724898468625814,,
138,1.207724860464102,1.2721787251497376,,
139,1.206617324421249,1.2718711749153415,,
140,1.2055221513897596,1.2715671526707701,81.73913043478261,55.362318840579704
